"Y","X1","X2","X3"
-1.3419,-1.32,0.13358,0.16731
0.60897,1.6655,-0.29624,0.0040302
-0.024162,1.3942,0.043555,0.025558
-1.5353,-1.5913,-0.040317,-0.31303
-1.7455,-2.0653,0.44676,0.18799
1.407,0.64949,-0.24855,-0.40034
-0.10157,0.87975,-0.60599,-0.097153
0.22161,-0.74344,-0.27224,-0.41829
0.55529,0.10011,0.33604,0.55334
1.6911,0.49451,-0.36418,-0.77171
1.0225,0.55473,-0.16521,-0.12848
-2.8189,-0.61612,0.020467,0.5203
-2.7702,-1.2399,0.1918,0.26561
0.059681,0.64474,0.3234,0.08688
-1.2626,-1.79,0.50135,0.64067
-1.2815,-0.51153,0.1703,0.48282
2.0673,0.93389,-0.23488,-0.29763
1.4472,-0.45465,0.49857,0.24064
-0.33033,0.36674,-0.47615,-0.010134
-1.5675,-1.5717,0.44119,0.54991
-2.612,0.29144,-0.25094,0.22057
2.0797,0.30602,0.07603,-0.52278
-1.202,-0.31822,0.24539,-0.045082
-2.2338,-0.61914,-0.12613,0.40528
-2.7263,-0.56045,-0.18849,-0.031214
-0.99992,-0.86674,0.38938,0.59577
-1.5584,-0.40599,0.080459,-0.14349
-2.8276,-1.2001,0.36913,0.59488
1.2704,0.66111,0.65024,0.40832
1.5594,1.7674,-0.46486,-0.56412
0.62855,0.11367,0.15049,0.1807
0.066706,0.50377,-0.32191,-0.29648
-0.76058,0.083763,-0.36087,-0.10374
1.658,-0.41077,0.2869,-0.077913
-0.53731,-0.9419,0.081307,0.088108
0.57921,-1.4364,0.21705,-0.24968
1.1479,-0.53859,0.058523,-0.30573
-0.55497,0.069441,0.20678,0.88653
0.98021,-0.14804,0.040086,-0.15649
-4.0903,-0.65179,-0.05384,0.65488
-0.66866,-0.032101,-0.13649,0.37009
-1.9196,-1.7294,-0.13358,-0.33535
-2.3976,-0.17495,-0.24234,0.3122
-0.19906,-0.50532,0.42671,0.3219
-0.073094,-0.90453,-0.0061199,-0.082322
-2.0188,-1.7802,0.46205,0.57203
-0.28601,-0.9575,-0.13557,-0.21743
-2.6675,-0.076839,-0.4667,0.13681
-0.37168,0.28608,-0.29454,0.20231
-2.6941,-1.4798,0.22875,0.45368
-1.3986,-0.51269,-0.14494,0.16487
1.6981,1.2061,-0.24017,-0.45792
1.0232,-0.041923,-0.14495,0.024031
1.9825,1.3643,0.10299,0.0075423
-1.0017,1.1369,-0.36209,-0.3754
-1.3137,-0.15323,-0.47921,-0.19083
1.6727,-0.53453,0.49389,0.15163
1.5021,0.46917,-0.25638,-0.4076
1.451,0.93683,-0.75459,-1.0856
-1.671,-1.6675,-0.0037435,0.0046666
-2.8572,-0.82812,0.2536,0.65313
2.0221,0.084596,0.27547,0.15463
0.41677,-2.3069,0.33448,-0.67778
-0.17397,1.276,0.016206,-0.33479
0.2976,-0.7627,-0.27303,-0.6146
-0.4358,0.0025965,-0.058649,0.23287
1.1418,0.11017,0.45816,-0.072067
-2.0269,-0.4815,-0.23833,-0.031859
-1.3518,-0.21193,-0.00053837,0.37954
1.701,0.52975,-0.22036,-0.40942
-2.3979,0.1187,0.047759,0.46418
-0.93118,1.1163,-0.12675,-0.045548
-0.93763,-0.50485,0.066508,0.52982
-2.5118,1.286,-0.9419,-0.39669
1.5043,0.89169,0.38449,0.25691
0.76173,0.44336,-0.18491,-0.38408
1.2193,0.25306,-0.055275,-0.13217
0.51816,-0.21992,-0.46029,-0.062299
0.25443,-1.2055,0.27827,0.034092
-2.0091,0.062585,-0.20118,0.61189
0.76378,0.2283,0.13104,-0.078096
0.67012,1.4233,-0.51643,-0.16752
1.4561,2.6049,-0.12297,-0.28366
1.0797,-1.0307,0.29789,-0.24355
-1.1602,0.33176,-0.25123,-0.46714
-1.2729,0.44284,-0.30217,-0.468
-0.019125,-0.605,-0.15877,0.46692
1.638,0.77486,-0.035629,-0.2327
0.43962,-0.7827,0.23435,0.50239
-0.66168,0.14579,-0.087054,-0.12541
-0.35744,0.097483,-0.83163,-0.70563
-1.5003,0.35139,-0.09626,-0.10286
1.8484,0.50357,-0.17354,-0.5803
-0.090301,-1.1768,0.44084,0.55709
0.38587,-1.0426,-0.041856,-0.096614
-1.9391,-0.50174,-0.03577,0.58451
0.68122,-0.39768,0.77471,0.098573
2.0053,1.6419,-0.28275,-0.2729
-2.8864,-0.48273,0.23544,0.83065
-1.1305,0.49033,-0.033064,-0.11109
1.5184,0.65911,-0.1377,-0.20736
1.3744,1.3896,-0.19304,0.18849
0.46586,0.19359,0.34607,-0.48467
-2.3267,0.37358,-0.14554,0.26234
0.56716,-0.065043,0.52634,0.38755
1.4064,2.2773,-0.82017,-0.88493
0.10167,-0.18512,-0.017004,0.046505
1.8444,0.69153,0.21225,-0.22178
0.695,0.88186,0.19918,-0.13395
-0.37765,0.21216,-0.062581,-0.61312
-0.38144,0.77299,-0.035414,0.25948
2.2945,0.21938,0.22886,-0.042356
0.67948,1.5982,-0.30021,-0.049176
1.5441,-0.012415,0.22872,0.086733
1.9147,0.76853,0.095946,-0.36627
-0.59883,-1.5461,0.47332,0.55367
1.9976,1.0857,0.013569,-0.29924
2.0085,0.78491,0.15508,-0.13355
0.90427,0.55861,0.55616,0.27365
0.83293,1.2992,-0.32294,-0.20841
-1.3629,0.11415,0.14764,0.23378
-1.1525,0.99396,-0.42776,-0.20859
1.5865,0.26921,0.3572,-0.031878
1.6547,1.5564,-0.18297,-0.15743
1.215,-0.036805,0.96341,0.51649
1.6775,0.13924,0.18587,-0.13202
0.11111,-1.2,0.64551,0.68956
-2.7904,-1.2499,0.20203,0.46891
-0.33977,0.5928,-0.78415,-0.50587
-2.2901,-0.067709,-0.41485,0.24789
1.9133,1.4488,-0.31712,-0.61203
1.4837,0.32771,-0.31519,-0.42971
-0.43854,-0.53878,0.27311,0.55281
-1.4572,-0.2395,-0.049994,-0.35831
1.2003,1.5055,-0.1592,-0.39656
1.2467,-0.78889,0.20829,-0.2243
1.2144,1.6313,-0.41738,-0.72359
1.949,2.3502,-0.65995,-0.48667
-1.2061,-1.4748,0.079343,0.14552
1.8907,0.13262,0.5381,0.30208
0.57167,-1.1151,0.16207,0.060581
1.4908,0.85462,-0.2857,-0.34866
-1.8265,-0.21997,-0.49869,0.011412
-1.2958,-0.036285,-0.43781,-0.19264
1.9065,-0.055579,0.34999,-0.13038
1.9236,-0.24184,0.23146,-0.057206
0.4275,-0.17943,-0.10522,-0.6334
-0.61262,-1.6462,0.76312,0.93371
0.48391,0.1253,0.40591,-0.16472
-2.2566,0.5401,-0.46955,-0.14382
0.72754,-0.85836,0.11172,-0.38225
-0.14475,-0.59592,0.076024,0.24245
-1.1378,0.15159,-0.12654,-0.18915
0.8636,1.2432,0.098604,-0.12266
0.052694,-0.63773,0.088682,-0.23747
-0.12645,-1.0325,-0.094683,0.20142
-0.70645,-0.815,-0.39783,-0.060592
1.3149,-0.042649,0.3313,0.38346
0.036083,0.94278,-0.26666,-0.35539
1.9665,0.67987,-0.056151,-0.067299
1.1087,0.90738,0.18729,-0.487
-1.5112,-1.1855,0.23286,0.41833
-2.7633,-0.47654,-0.14666,0.35137
-0.60805,0.20343,-0.17513,0.28444
0.074377,-0.053057,0.53316,0.039449
0.33599,-2.3134,0.98355,0.63168
-1.4551,-0.36079,-0.2305,0.12474
0.81344,-0.0459,-0.085486,-0.33834
1.5478,0.93536,0.16801,0.34525
-2.7359,-1.1651,0.29595,0.70182
1.3238,0.90493,-0.3153,-0.40429
1.3523,0.82968,0.13996,0.22984
1.6102,0.80967,0.0055884,-0.16076
0.83781,-0.51804,-0.01073,-0.34277
-0.98837,0.70361,0.0098026,-0.0063894
1.9798,-0.7392,-0.013607,-0.6768
1.1803,-0.32946,0.29872,0.022555
0.92507,-0.21578,-0.055332,-0.36186
-0.43772,-1.657,0.47461,-0.15571
2.1069,-0.65615,0.55767,0.19521
1.1836,0.52722,-0.026952,-0.59088
0.45684,0.60485,-0.85539,-0.54291
0.8934,-0.34909,0.31813,0.24926
0.65146,0.48666,-0.22887,-0.48617
1.6397,-0.18533,0.43597,0.39258
1.4627,0.80715,-0.065346,-0.47587
0.34078,-0.8686,0.36304,0.25526
-2.3461,-0.54954,0.1443,0.85357
2.0806,0.71575,0.04665,-0.3949
-1.7279,0.74345,-0.30879,-0.12364
0.52453,0.099017,-0.55708,-0.70584
1.266,1.423,0.31028,-0.026763
2.1937,0.66421,-0.037668,-0.13999
-1.869,-0.59901,0.024482,0.62756
0.97975,-0.42841,0.14955,-0.11474
0.31435,-0.83074,-0.11211,-0.49139
0.18457,-2.3202,0.21805,0.051625
0.24415,-0.39666,0.3867,0.9148
0.0034053,1.2495,-0.17556,-0.36087
-0.0041583,1.3974,-0.753,-1.4529
1.0666,0.28405,0.054645,0.0056142
0.8369,-0.24687,0.60971,0.75251
0.89208,1.2611,-0.2432,-0.64271
0.99477,-1.0021,0.38793,0.37018
-0.011829,-1.5313,0.38983,0.67494
-1.9275,-1.0016,0.11159,-0.23833
1.5452,-0.81053,0.40504,-0.074434
-1.5591,2.0819,-0.54789,0.15053
-2.3754,-1.6915,0.69312,0.72046
0.47305,0.16299,0.29128,0.45964
1.2186,0.24512,0.18558,0.24792
-1.0601,-0.97128,0.029643,0.13164
-2.402,-1.3654,0.13528,-0.0023588
0.62321,1.2024,-0.19431,-0.076511
1.441,-1.0129,0.45825,0.099363
-1.0451,-0.043639,-0.070593,-0.47193
2.4927,0.80854,-0.12853,-0.35605
0.75237,0.50934,-0.37736,-0.34864
-2.7628,-1.1043,0.4708,0.95906
-1.2442,-0.36375,0.52941,0.36729
1.5661,1.3278,-0.26864,-0.25551
0.71522,-0.052202,0.24711,0.602
0.81321,1.2264,-0.60413,-0.48876
0.7992,-0.44884,0.29959,0.051102
-2.6528,-2.1397,0.34202,0.32242
-1.1168,0.33976,-0.082226,0.62674
0.88783,-0.85208,0.80728,0.47497
0.76798,0.46046,0.41969,0.77717
0.95196,0.064589,0.57934,0.76648
0.11668,0.12845,-0.15449,0.4002
-2.2137,-1.0608,0.45911,0.44145
-1.6574,-1.8726,0.73644,0.15421
1.0085,0.033524,-0.06138,0.20819
0.38213,-0.95531,0.21958,0.018283
-1.0395,0.31343,-0.085814,-0.055729
-0.85196,-0.9876,0.0042582,0.14972
0.69395,-0.43498,0.2403,-0.24562
1.5039,-0.73875,0.18974,-0.38479
0.57898,-1.5199,0.30187,-0.15577
1.7057,1.3939,-0.03765,-0.29681
1.0995,1.3519,-0.077118,-0.26253
-1.0255,0.46343,0.0056355,0.15538
-0.32517,-0.86674,0.14614,-0.27741
-0.55178,0.06212,-0.57049,-0.38701
0.59938,-1.5138,0.94497,0.61526
0.003177,1.3527,-0.31938,-0.51966
1.0331,0.20157,0.42954,0.70092
-2.1142,-1.463,0.51429,0.28466
1.553,2.2684,-0.63067,-0.36836
-2.2838,-0.67647,0.76733,1.0936
-0.2829,1.1223,-0.72574,-0.62284
-2.8584,-0.99889,0.29377,0.66567
-0.16082,-1.561,-0.08845,-0.41348
0.33316,-0.13976,0.2115,0.18413
-0.46309,1.5525,-0.16451,-0.067291
-1.4601,-0.1498,0.090912,-0.0094333
-1.7989,-0.2181,0.061981,-0.0078744
0.87131,0.37837,0.35265,0.47181
1.819,0.62553,-0.1482,-0.43957
-0.061821,0.63356,-0.4016,0.16134
-2.6979,-0.33117,-0.14695,0.12933
-0.385,-1.237,0.17092,0.13559
-0.36743,-0.0079282,0.029739,-0.024894
1.3328,0.1486,-0.17184,-0.40164
0.9741,2.518,-0.49869,-0.34742
-1.3334,0.52914,-0.91567,-0.33507
0.73242,1.1282,-0.96082,-0.7381
1.2331,0.69881,-0.50364,-0.58161
-2.0682,-1.0701,0.32575,0.50751
0.51102,2.19,-0.30061,-0.18845
1.2086,-0.4521,-0.194,-0.35067
-0.83452,-0.14566,0.13781,0.65594
-2.371,-1.7884,0.20524,-0.19705
0.26333,0.28135,-0.50675,-0.6979
-2.2896,-1.481,0.034838,0.21833
-0.82005,0.32236,-0.14095,0.45127
-0.59792,-1.3779,0.73728,1.0048
0.55735,1.5157,-0.43922,0.015371
0.42645,-0.73556,0.43805,0.38333
-0.03863,1.3916,-0.27826,-0.44585
-0.93306,-0.67814,-0.0052053,0.19418
0.41248,0.44889,0.029135,-0.53054
-0.22686,-0.63897,0.15141,-0.16508
-0.28877,-1.827,0.18535,0.37636
-0.26606,-0.12184,0.063068,0.30515
0.84934,1.8684,-0.060921,-0.50283
0.74886,-1.4362,1.0474,0.51463
-1.0927,-1.2739,0.30346,0.53843
1.0072,0.58328,0.40599,-0.074371
1.8204,-0.43313,0.62165,0.15791
-0.11559,-1.0973,0.33813,0.35572
0.87738,1.9429,-0.15073,-0.14818
1.3222,0.67207,-0.079711,-0.11372
-2.6981,-1.1556,-0.079873,-0.16632
-2.6264,-1.1792,0.35532,0.42722
1.2536,1.0353,-0.50581,-0.18443
1.234,-0.38923,0.047371,-0.31364
1.1,1.1157,0.088553,-0.14311
0.84283,0.14914,0.11908,0.022244
1.734,0.25423,0.13027,-0.17368
1.1357,-0.20153,0.13973,-0.075562
1.462,0.24991,-0.20547,-0.93826
0.85912,-0.48164,0.10298,-0.38232
0.204,1.8296,-0.20559,0.17799
-2.3722,-0.22754,-0.03089,0.24764
-0.95743,0.32662,-0.081306,0.45743
0.19952,1.4216,-0.22174,0.53233
0.66784,0.76163,-0.081725,0.23419
0.25397,-0.67745,0.19642,0.18378
0.099384,-0.38814,0.64806,1.0196
-0.32494,-0.21898,0.086875,-0.056533
-0.031148,1.2275,-0.27882,0.11566
1.6014,0.63423,-0.064228,-0.51602
1.203,1.1422,-0.4508,-0.22065
0.38806,-1.6891,0.90522,0.50528
0.37063,-0.47579,0.25751,0.23166
0.64005,-0.17846,-0.097321,-0.25682
-2.4957,-2.1759,0.40281,0.30337
-2.3889,-1.8095,0.16614,-0.14481
2.2373,0.25803,0.19601,-0.03716
0.45424,-0.1046,0.1061,0.19982
1.8422,-0.21079,0.6787,0.54551
0.80896,-1.1708,0.36905,0.37342
1.5577,-0.016832,-0.055073,-0.32832
0.79486,-0.082518,-0.0022212,-0.088106
-1.3327,-1.1063,0.32292,0.70694
0.85456,-0.96775,0.4392,0.028535
1.683,0.33978,-0.033041,-0.53473
-1.2818,-0.86754,0.22847,0.40317
0.18761,1.9865,-0.50898,-0.56605
0.97747,1.1152,-0.57522,-0.37831
-0.93694,0.07988,-0.50137,-0.060031
-0.23781,-0.56458,-0.1955,-0.30803
-0.47952,0.52078,-0.17803,-0.078711
1.0609,-1.0571,0.028573,-0.51192
1.3378,-0.076951,0.017446,-0.38429
-1.5162,-0.87219,-0.16369,0.13197
-2.3195,0.1595,-0.52847,-0.20466
1.138,0.15572,-0.15744,-0.41932
-0.395,0.13931,-0.11643,-0.18709
1.7053,0.18339,-0.1498,-0.60853
-1.6714,0.33004,-0.35597,-0.4114
0.58537,-0.19036,0.33981,0.35249
-1.131,0.19811,0.2798,0.23102
0.68742,-0.57485,0.13253,0.16642
0.60965,1.422,-0.33333,-0.1925
1.3129,1.7594,-0.302,-0.50143
2.195,-0.10888,0.60394,0.40432
-0.48491,-0.46889,-0.093733,0.17054
-2.7277,-1.7859,0.25813,0.083787
0.96651,-0.64179,0.40198,0.57493
0.34311,-0.92937,0.25255,-0.89064
1.7049,0.88196,-0.35068,-0.5545
-2.3864,-0.49262,-0.044009,0.10522
-2.416,-1.0227,0.20113,0.26461
-0.025809,0.54097,-0.28735,0.038014
2.1638,-0.1931,0.018078,-0.4188
-2.5278,-0.61266,-0.62733,-0.3531
-1.0164,0.86782,-0.33755,-0.44882
-2.5938,-1.9855,0.45594,0.4766
0.81846,0.445,-0.29845,-0.5756
-1.1021,-0.020707,0.14909,-0.10147
0.4134,1.3906,-0.091823,-0.27997
0.088111,0.68641,-0.050776,0.4082
-1.7417,0.13256,0.25062,0.4121
-0.47227,-1.8706,0.34033,0.1803
-2.7831,-1.5839,0.039246,-0.16822
2.0106,-0.014543,0.39918,0.21372
1.9805,0.36064,0.29402,0.30345
1.4072,0.35516,0.062709,-0.083114
-0.3678,-2.5114,0.47845,-0.12558
-0.35059,-0.61373,0.17255,0.24333
-2.2842,-0.57529,-0.33173,-0.4969
-0.59011,0.83534,0.54193,0.67341
0.66328,-0.067926,0.090676,0.23027
1.4492,0.39462,0.16766,0.094183
1.2058,0.18967,0.40673,0.51793
1.124,0.11348,0.039422,-0.14369
-0.63995,-1.0119,0.14371,0.29059
-0.072955,-1.666,0.42908,-0.24295
-1.5397,0.59485,0.12465,1.1416
0.36812,0.050892,-0.29075,-0.25711
1.4815,0.8686,-0.077872,-0.61461
0.38259,-0.52992,0.063413,-0.022734
-1.5001,1.0089,-0.5091,-0.40939
1.4352,0.67954,-0.37386,-0.58139
-0.18482,0.2505,0.20906,0.35731
0.52549,1.6186,-0.10072,-0.18172
-2.626,-0.4815,-0.3323,-0.28042
-0.19952,0.45484,-0.40555,-0.44632
-0.51271,-1.9058,0.6925,0.64316
-0.81015,-0.30968,0.26517,0.88159
1.4896,0.81927,-0.15912,-0.57539
0.2014,1.2589,0.11536,0.024491
-1.1777,-0.87841,-0.1398,0.093473
1.1031,0.46565,0.0097718,0.1984
0.17085,1.9289,-0.50638,-0.89441
1.5197,0.16043,-0.24631,-0.6579
1.8544,0.70065,-0.54439,-0.79203
-1.2395,-1.3375,0.37973,0.39356
-2.4137,0.032583,-0.28058,-0.01509
1.9833,0.47261,0.24427,0.1977
0.70554,0.44587,-0.13233,0.13908
0.43521,0.091285,0.063002,0.388
-2.8586,-0.040984,-0.39185,0.10991
1.7205,0.81197,-0.043516,-0.17641
0.0026707,0.061093,0.079352,0.34069
1.7342,0.38666,0.58647,0.57072
0.17172,-1.0216,0.29763,0.11047
0.66584,2.1085,-0.40393,-0.40532
0.030694,-1.136,0.46654,0.33724
0.30134,0.53864,-0.47634,0.038065
-2.229,-0.66656,0.010131,0.43719
-2.3884,-0.36641,-0.10677,0.57248
0.32928,0.36581,0.054108,0.31623
1.4635,0.031727,0.41964,0.28861
0.44283,-0.48206,0.15238,0.44171
-2.2012,-1.5557,0.19179,0.28235
0.33621,0.8492,-0.37802,0.1239
-1.1321,-0.87433,0.12763,-0.48754
1.5717,1.3467,-0.39355,-0.17003
-0.50755,-0.31485,0.33834,0.28932
-1.2673,0.39739,-0.18203,0.39046
-2.8733,-0.33271,-0.36598,0.027405
0.078118,0.080024,0.43996,0.28571
-2.472,-1.3828,0.15134,0.44892
0.59627,-0.77538,0.066683,0.19049
-0.53799,-0.66818,0.0075022,0.13249
-1.9006,0.28441,-0.04743,0.62344
-1.9676,-1.7115,-0.027391,0.018936
1.2598,-0.19532,0.083449,-0.092954
-0.49728,-0.34672,0.0088389,-0.54365
0.74087,-0.53741,0.46841,0.33324
-1.6422,0.50697,0.01159,0.10092
-0.6891,0.99047,-0.50431,-0.79687
-2.6838,-1.3192,0.086518,-0.0031122
1.6194,0.63733,-0.068468,-0.20665
0.48623,-0.97593,-0.0037104,-0.077957
-1.742,-0.57264,-0.28918,0.13978
0.79172,0.36234,0.42089,-0.0118
-0.066654,0.04789,0.11661,-0.50955
-0.66108,0.70376,0.42983,0.46881
1.6669,0.86112,-1.0253e-05,-0.16541
-2.7128,0.17419,-0.24813,0.25308
-1.7225,-0.75883,0.0013825,0.31456
-2.4273,-0.74841,0.29006,0.44709
0.78496,-0.21001,0.15491,-0.042571
-0.54073,-0.96132,0.50338,0.82104
-0.048673,-0.015424,0.3799,0.16999
-0.98997,1.1963,-0.47614,-0.44656
2.1948,1.1748,-0.57015,-0.72718
-0.23179,0.13524,-0.079179,0.45975
1.2478,0.09188,0.34443,0.37625
0.091445,-0.19067,0.15801,-0.24983
2.1636,0.40455,-0.10873,-0.30985
1.0475,-0.66628,-0.026918,-0.42545
1.2492,0.086375,0.24077,0.17468
1.1442,1.0365,-0.30749,0.02899
-1.2782,0.97319,-0.35832,-0.12853
-1.615,-1.6623,0.54687,0.83599
-0.69714,-0.59876,-0.063987,0.21599
-1.1381,0.43777,0.046524,0.21864
-0.80992,-2.4495,1.2351,1.2865
1.2885,-0.22721,0.12097,-0.07352
-2.0184,-1.2822,0.28652,0.53744
1.5957,0.91641,-0.34977,-0.62909
0.054202,-1.0957,-0.60756,-0.53417
1.0896,0.20077,-0.25849,-0.3494
0.6552,0.86527,-0.47731,-0.35334
1.9401,1.1737,-0.055444,0.12564
-2.4422,-1.037,0.18863,0.18164
-1.9954,-2.7674,0.80038,0.74068
1.2265,-0.59541,0.34365,0.26704
-0.13229,-0.11748,0.47727,0.2523
0.007831,0.9714,-0.7176,-1.013
0.96665,0.16783,-0.47512,-0.79159
0.9479,1.4794,-0.70407,-1.2224
-2.4821,-2.1592,0.50885,0.79358
2.0232,0.55712,-0.12758,-0.692
-2.1451,-0.80019,0.008978,0.37715
-0.016134,-1.2516,0.57813,0.59857
2.053,1.4907,-0.53496,-0.90512
1.3468,0.31285,0.064986,0.035281
1.4083,1.3452,-0.33658,-0.23501
-1.8298,0.34728,-0.060905,0.61253
-1.5114,-0.30692,0.0011608,0.50697
1.2531,0.69179,-0.30719,-0.039391
1.107,0.51848,-0.22505,-0.2506
1.0381,-0.36499,0.066276,-0.28046
2.1794,1.5367,-0.47541,-0.36445
-1.8163,-0.48866,-0.19362,0.01766
1.3648,1.9328,-0.56747,-0.68754
1.6489,1.44,-0.31759,-0.67417
0.30057,0.10462,-0.18911,-0.15636
-2.6073,-1.4346,0.21731,0.3729
-1.9765,-1.9862,0.41281,0.38991
-1.4882,-0.61603,-0.2112,0.18591
-2.5377,0.67772,-0.39664,0.49752
0.75862,-0.35485,0.46035,0.7319
-2.7908,-1.007,0.33621,0.80412
-2.5261,0.054968,-0.17719,0.15864
-1.0535,0.45205,-0.050084,0.065939
-0.35716,-0.095321,0.23561,-0.079187
-0.95789,-2.1426,0.43618,0.041367
1.2288,0.69739,0.18328,-0.29108
-1.0122,0.52817,-0.064196,0.1034
-1.6432,0.9641,-0.47905,-0.29328
1.9685,1.6049,-0.10574,-0.18885
-2.829,-0.62144,0.029757,0.41027
0.12015,-0.44898,0.48942,0.10109
1.3038,0.47378,0.13706,0.25114
-0.39189,1.3889,-0.34926,-0.46118
-0.045527,-0.95056,0.21487,0.24205
0.64904,0.79234,-0.59017,-0.36611
0.65337,1.0505,-0.36753,-0.040235
1.1087,-0.064112,0.37146,0.74763
-2.1497,-0.72377,-0.39183,-0.045892
2.0928,0.79383,0.41552,0.2557
1.7428,1.376,-0.38945,-0.24237
1.3645,-0.45084,0.20539,-0.24165
0.25862,0.58086,-0.65411,-0.18741
-1.3763,-0.1029,0.36647,0.43544
1.3103,-0.86678,0.057547,-0.28938
1.743,0.74965,-0.35488,-0.5042
1.5672,1.6388,-0.59127,-0.62457
-1.6855,-1.2463,-0.13236,0.031638
1.7106,2.1064,-0.86573,-0.47302
-0.8876,-0.25282,-0.17899,0.033761
-0.90823,-0.74803,-0.50304,-0.48942
2.0108,-0.058624,-0.2778,-0.83401
1.3987,-0.45479,0.43436,0.34388
1.009,0.42872,0.00064076,0.48081
1.5186,0.63476,0.059617,0.070582
1.1525,0.29174,-0.26342,-0.090873
-0.047353,-0.37134,-0.1872,-0.022348
1.3106,-0.055911,-0.075755,-0.10006
-0.46405,-0.2286,0.078048,0.33255
-1.5433,1.1273,-0.22312,0.11475
1.6139,0.94622,-0.30909,-0.24617
0.87359,1.1589,-0.21346,-0.069457
1.2756,0.67605,-0.41949,-0.48038
0.32722,0.45623,-0.1498,0.11786
1.9926,-0.028224,0.54234,0.10829
1.2233,0.62701,-0.12128,0.26584
1.6913,2.0171,-0.16309,0.26953
-2.4316,-0.49013,0.13325,0.47323
-0.3672,0.77804,-0.13242,0.10879
0.0080592,0.92085,-0.13828,-0.17289
-1.9843,0.80295,-0.29594,0.0534
-0.18012,0.066937,0.73737,0.47702
0.95113,-0.52807,0.093811,0.20961
-0.11499,-0.21374,-0.054869,-0.26018
2.0241,0.35757,0.44698,0.046546
-0.25799,0.63552,-0.36182,0.22218
0.51371,1.4509,-0.66398,-0.30467
-1.9562,-0.76128,0.1301,-0.071364
0.93863,1.2328,-0.58778,-0.4396
-0.40709,-0.32797,-0.23325,-0.21327
-1.155,-1.4275,0.46006,0.45609
1.2127,-0.55054,0.3275,0.25756
-1.657,-1.4954,0.038257,0.15215
-0.67262,-2.0841,-0.11757,-0.24151
1.2616,0.05256,0.16601,0.095575
0.38304,1.6034,-0.19852,0.61345
1.8691,0.89666,-0.44257,-0.5642
0.62672,0.31386,0.22356,0.44587
-2.6402,-0.38016,-0.00035656,0.27599
-1.4567,0.40558,-0.039959,-0.041562
0.082633,-0.71657,0.14245,0.18337
-0.96131,-0.77509,-0.035814,0.10777
-2.8272,-0.21026,-0.25484,0.12611
0.95159,0.2211,-0.26773,0.01802
0.93749,-0.26442,-0.011292,-0.2694
1.8976,0.92643,-0.058446,0.014288
1.1499,-0.62804,0.10504,-0.34379
-2.3836,-1.4577,0.69335,1.0924
-2.5969,-1.3937,0.14361,0.39628
-2.7332,-1.1227,0.079921,0.31171
-0.23758,0.359,-0.1419,0.21782
0.58186,0.75276,0.14243,0.18875
0.63639,0.77176,-0.11082,0.30249
-2.0606,0.1606,-0.31225,0.34987
0.7631,0.076407,0.079464,-0.20869
0.72343,0.26048,-0.037793,0.069178
-1.3012,0.071302,-0.15441,-0.42039
-2.528,-0.42043,-0.62342,-0.24594
1.5877,-0.16676,0.2577,0.0047781
0.69016,-0.67866,-0.14719,-0.39116
